"magnetic field strength:0","magnetic field strength:1","magnetic field strength:2","magnetic flux density:0","magnetic flux density:1","magnetic flux density:2","potential","GeometryIds","magnetic field strength e:0","magnetic field strength e:1","magnetic field strength e:2","magnetic flux density e:0","magnetic flux density e:1","magnetic flux density e:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.1344e+05,72.07,0,-0.66062,1.0493e-05,0,3.6184e-06,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.02772,-0.08228,0,0
3.1259e+05,87.306,0,-0.66736,4.4313e-05,0,3.4487e-06,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.02794,-0.08206,0,0
3.1174e+05,102.54,0,-0.67411,7.8133e-05,0,3.279e-06,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.02816,-0.08184,0,0
3.1088e+05,117.78,0,-0.68086,0.00011195,0,3.1093e-06,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.02838,-0.08162,0,0
3.1003e+05,133.01,0,-0.6876,0.00014577,0,2.9395e-06,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.0286,-0.0814,0,0
3.0918e+05,148.25,0,-0.69435,0.00017959,0,2.7698e-06,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.02882,-0.08118,0,0
3.0833e+05,163.48,0,-0.70109,0.00021341,0,2.6001e-06,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.02904,-0.08096,0,0
3.0747e+05,178.72,0,-0.70784,0.00024723,0,2.4304e-06,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.02926,-0.08074,0,0
3.0662e+05,193.95,0,-0.71459,0.00028105,0,2.2607e-06,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.02948,-0.08052,0,0
3.0577e+05,209.19,0,-0.72133,0.00031487,0,2.091e-06,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.0297,-0.0803,0,0
3.0492e+05,224.43,0,-0.72808,0.00034869,0,1.9213e-06,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.02992,-0.08008,0,0
3.0407e+05,239.66,0,-0.73482,0.00038251,0,1.7516e-06,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.03014,-0.07986,0,0
3.0321e+05,254.9,0,-0.74157,0.00041633,0,1.5819e-06,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.03036,-0.07964,0,0
3.0236e+05,270.13,0,-0.74831,0.00045015,0,1.4122e-06,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.03058,-0.07942,0,0
3.0151e+05,285.37,0,-0.75506,0.00048397,0,1.2425e-06,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.0308,-0.0792,0,0
3.0066e+05,300.6,0,-0.76181,0.00051779,0,1.0728e-06,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.03102,-0.07898,0,0
2.9981e+05,315.84,0,-0.76855,0.00055161,0,9.0305e-07,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.03124,-0.07876,0,0
2.9895e+05,331.07,0,-0.7753,0.00058543,0,7.3334e-07,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.03146,-0.07854,0,0
2.981e+05,346.31,0,-0.78204,0.00061925,0,5.6364e-07,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.03168,-0.07832,0,0
2.9725e+05,361.55,0,-0.78879,0.00065307,0,3.9393e-07,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.0319,-0.0781,0,0
2.964e+05,376.78,0,-0.79554,0.00068689,0,2.2423e-07,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.03212,-0.07788,0,0
2.9555e+05,392.02,0,-0.80228,0.00072071,0,5.4518e-08,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.03234,-0.07766,0,0
2.9469e+05,407.25,0,-0.80903,0.00075453,0,-1.1519e-07,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.03256,-0.07744,0,0
2.9384e+05,422.49,0,-0.81577,0.00078835,0,-2.849e-07,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.03278,-0.07722,0,0
2.9299e+05,437.72,0,-0.82252,0.00082217,0,-4.5461e-07,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.033,-0.077,0,0
2.9214e+05,452.96,0,-0.82927,0.00085599,0,-6.2432e-07,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.03322,-0.07678,0,0
2.9129e+05,468.19,0,-0.83601,0.00088981,0,-7.9402e-07,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.03344,-0.07656,0,0
